mean,median,sd,max,min,day,AIS
0.471153846,0,0.521574307,2,0,1,AIS A
0.463541667,0,0.520495091,2,0,1,AIS B
0.330434783,0,0.507097902,2,0,1,AIS C
0.203045685,0,0.403291133,1,0,1,AIS D
0.480769231,0,0.540152215,3,0,2,AIS A
0.473958333,0,0.53107513,2,0,2,AIS B
0.339130435,0,0.518428201,2,0,2,AIS C
0.21319797,0,0.410609833,1,0,2,AIS D
0.532051282,0,0.60410444,5,0,3,AIS A
0.53125,0,0.621653344,3,0,3,AIS B
0.373913043,0,0.544297465,2,0,3,AIS C
0.223350254,0,0.429597515,2,0,3,AIS D
0.573717949,0,0.671130158,5,0,4,AIS A
0.59375,0,0.687633852,3,0,4,AIS B
0.430434783,0,0.60704365,3,0,4,AIS C
0.248730964,0,0.467364423,2,0,4,AIS D
0.625,1,0.783302881,6,0,5,AIS A
0.65625,0.5,0.783710132,4,0,5,AIS B
0.486956522,0,0.716191009,4,0,5,AIS C
0.299492386,0,0.540832452,3,0,5,AIS D
1.389423077,1,1.265906937,9,0,6,AIS A
1.510416667,1,1.349770519,6,0,6,AIS B
1.265217391,1,1.187308687,6,0,6,AIS C
0.92893401,1,0.944924887,4,0,6,AIS D
1.769230769,1,1.671577734,11,0,7,AIS A
1.90625,1,1.746068883,8,0,7,AIS B
1.595652174,1,1.54042422,10,0,7,AIS C
1.106598985,1,1.094423297,6,0,7,AIS D
1.948717949,2,1.917378065,13,0,8,AIS A
2.078125,2,1.986641415,11,0,8,AIS B
1.747826087,1,1.742574907,11,0,8,AIS C
1.223350254,1,1.174066257,6,0,8,AIS D
2.219551282,2,2.196203303,15,0,9,AIS A
2.458333333,2,2.423344868,11,0,9,AIS B
2.069565217,2,2.166524753,14,0,9,AIS C
1.365482234,1,1.339519559,8,0,9,AIS D
2.413461538,2,2.400283197,16,0,10,AIS A
2.927083333,2,2.916803786,15,0,10,AIS B
2.291304348,2,2.409481461,15,0,10,AIS C
1.54822335,1,1.601644369,10,0,10,AIS D
2.645833333,2,2.705659358,20,0,11,AIS A
