"","indication","generic_name","n"
"1","Pain","morphine",551
"2","General Disorders","acetaminophen",420
"3","Gastrointestinal System","ranitidine",349
"4","Infections and infestations","trimethoprim",326
"5","Infections and infestations","sulfamethoxazole",325
"6","Metabolism and nutrition  ","potassium_chloride",310
"7","Infections and infestations","cefazolin",308
"8","Infections and infestations","ciprofloxacin",290
"9","Pain","acetaminophen_and_oxycodone",289
"10","Psychiatric Disorders","diphenhydramine",276
"11","Infections and infestations","vancomycin",272
"12","Psychiatric Disorders","lorazepam",268
"13","Respiratory System","albuterol",267
"14","Gastrointestinal System","famotidine",265
"15","Infections and infestations","gentamicin",265
"16","Pain","acetaminophen",252
"17","Gastrointestinal System","metoclopramide",250
"18","Vascular System","heparin",243
"19","Pain","meperidine",239
"20","Nervous system  ","baclofen",212
"21","Psychiatric Disorders","midazolam",209
"22","Pain","acetaminophen_and_codeine",198
"23","Vascular System","furosemide",190
"24","Gastrointestinal System","sucralfate",166
"25","Pain","ketorolac",163
"26","Pain","ibuprofen",155
"27","Blood and lymphatic system  ","heparin",153
"28","Infections and infestations","ceftazidime",149
"29","Surgical and medical procedures","midazolam",145
"30","Psychiatric Disorders","diazepam",144
"31","Vascular System","albumin",141
"32","Gastrointestinal System","promethazine",139
"33","Blood and lymphatic system  ","rbc",131
"34","Pain","acetaminophen_and_propoxyphene",121
"35","Metabolism and nutrition  ","magnesium_sulfate",119
"36","Psychiatric Disorders","chloral_hydrate",116
"37","Surgical and medical procedures","vecuronium_bromide",116
"38","Gastrointestinal System","prochlorperazine",113
"39","Gastrointestinal System","cimetidine",112
"40","Surgical and medical procedures","cefazolin",112
"41","Pain","acetaminophen_and_hydrocodone",109
"42","Psychiatric Disorders","amitriptyline",107
"43","Surgical and medical procedures","heparin",104
"44","Pain","hydroxyzine",101
"45","Infections and infestations","ceftriaxone",98
"46","Metabolism and nutrition  ","insulin",97
"47","Metabolism and nutrition  ","calcium_gluconate",96
"48","Gastrointestinal System","docusate",90
"49","Metabolism and nutrition  ","vitamin_B1",90
"50","Pain","codeine",90
"51","Nervous system  ","diazepam",89
"52","Surgical and medical procedures","fentanyl",88
"53","Infections and infestations","metronidazole",85
"54","Metabolism and nutrition  ","folic_acid",80
"55","Infections and infestations","ampicillin_and_sulbactam",76
"56","Infections and infestations","nystatin",75
"57","Infections and infestations","piperacillin",75
"58","Infections and infestations","ticarcillin",75
"59","Surgical and medical procedures","morphine",73
"60","Vascular System","norepinephrine",73
"61","Infections and infestations","ampicillin",71
"62","Psychiatric Disorders","zolpidem",69
"63","Infections and infestations","tobramycin",68
"64","Gastrointestinal System","bisacodyl",67
"65","Metabolism and nutrition  ","potassium_phosphate",66
"66","Metabolism and nutrition  ","multivitamin_and_supplements",65
"67","Respiratory System","aminophylline",65
"68","Surgical and medical procedures","gentamicin",65
"69","Psychiatric Disorders","haloperidol",64
"70","Infections and infestations","nitrofurantoin",63
"71","Psychiatric Disorders","hydroxyzine",59
"72","Blood and lymphatic system  ","vitamin_K",58
"73","Infections and infestations","fluconazole",58
"74","Cardiac System","atropine",57
"75","Metabolism and nutrition  ","sodium_phosphates",56
"76","Psychiatric Disorders","triazolam",56
"77","Respiratory System","pseudoephedrine",56
"78","Skin and subcutaneous tissue  ","diphenhydramine",56
"79","Infections and infestations","clindamycin",55
"80","Infections and infestations","ofloxacin",55
"81","Vascular System","rbc",55
"82","Vascular System","warfarin",55
"83","Psychiatric Disorders","alprazolam",53
"84","Gastrointestinal System","aluminum_magnesium",52
"85","Infections and infestations","bacitracin",52
"86","Surgical and medical procedures","metoclopramide",52
"87","Vascular System","dopamine",52
"88","Gastrointestinal System","cisapride",51
"89","Nervous system  ","dexamethasone",51
"90","Respiratory System","guaifenesin",50
"91","Gastrointestinal System","nizatidine",47
"92","Surgical and medical procedures","glycopyrrolate",47
"93","Vascular System","enoxaparin",47
"94","Infections and infestations","clotrimazole",45
"95","Infections and infestations","nafcillin",45
"96","Surgical and medical procedures","lidocaine",45
"97","Infections and infestations","amoxicillin",44
"98","Nervous system  ","methocarbamol",44
"99","Infections and infestations","cefotaxime",43
"100","Psychiatric Disorders","flurazepam",41
"101","Respiratory System","acetylcysteine",41
"102","Vascular System","ephedrine",41
"103","General Disorders","ibuprofen",40
"104","Infections and infestations","miconazole",40
"105","Respiratory System","theophylline",40
"106","Blood and lymphatic system  ","enoxaparin",39
"107","Pain","propoxyphene",39
"108","Infections and infestations","norfloxacin",38
"109","Blood and lymphatic system  ","ferrous_sulfate",37
"110","Surgical and medical procedures","vancomycin",37
"111","Gastrointestinal System","rbc",36
