"","mean","median","sd","max","min","day","ais1"
"1",4.46052631578947,4,2.98042365019115,18,1,1,"AIS A"
"2",5.55927835051546,5,3.46172747347554,23,1,2,"AIS A"
"3",6.4906976744186,6,3.96942357546279,27,1,3,"AIS A"
"4",6.92575406032483,6,3.73594237354416,23,1,4,"AIS A"
"5",7.06032482598608,6,4.03428088013516,26,1,5,"AIS A"
"6",7.21809744779582,7,4.10204113681912,33,1,6,"AIS A"
"7",7.55477855477855,7,4.14231714918098,27,1,7,"AIS A"
"8",7.6285046728972,7,4.12337037371784,25,1,8,"AIS A"
"9",7.57377049180328,7,3.93265677006601,26,1,9,"AIS A"
"10",7.53720930232558,7,4.04891555056136,27,1,10,"AIS A"
"11",7.83333333333333,7,4.41738987789547,30,1,11,"AIS A"
"12",7.62060889929742,7,4.40351402616207,32,1,12,"AIS A"
"13",7.62028301886792,7,4.41249717980548,30,1,13,"AIS A"
"14",7.54739336492891,7,4.31220775324303,27,1,14,"AIS A"
"15",7.30714285714286,7,4.27161876819364,30,1,15,"AIS A"
"16",7.39712918660287,7,4.51113106540544,32,1,16,"AIS A"
"17",7.1710843373494,6,4.32743551040738,28,1,17,"AIS A"
"18",6.93917274939173,6,4.26428140480353,32,1,18,"AIS A"
"19",7.07389162561576,6,4.33583496201777,31,1,19,"AIS A"
"20",6.9181141439206,6,4.3486996302919,30,1,20,"AIS A"
"21",6.80397022332506,6,4.33013093905483,30,1,21,"AIS A"
"22",6.56218905472637,6,4.13577098977686,30,1,22,"AIS A"
"23",6.545,6,4.41039726215508,31,1,23,"AIS A"
"24",6.48614609571788,6,4.35460217584974,31,1,24,"AIS A"
"25",6.36548223350254,6,4.2776924644362,32,1,25,"AIS A"
"26",6.26649746192893,5,4.43069841722162,31,1,26,"AIS A"
"27",6.06377551020408,5,4.22615338219444,29,1,27,"AIS A"
"28",5.96683673469388,5,4.16678158061347,28,1,28,"AIS A"
"29",5.77040816326531,5,3.89482466460495,28,1,29,"AIS A"
"30",5.64102564102564,5,3.87057437456743,28,1,30,"AIS A"
"31",5.47948717948718,5,3.75719905294963,30,1,31,"AIS A"
"32",5.36434108527132,5,3.7401434911159,29,1,32,"AIS A"
"33",5.31524547803618,5,3.70042010347137,29,1,33,"AIS A"
"34",5.20052083333333,5,3.58833324793829,29,1,34,"AIS A"
"35",5.05483028720627,4,3.59240347579476,29,1,35,"AIS A"
"36",4.8987012987013,4,3.66396065535408,29,1,36,"AIS A"
"37",4.76640419947507,4,3.53561204920854,29,1,37,"AIS A"
"38",4.77248677248677,4,3.45583497740723,29,1,38,"AIS A"
"39",4.73458445040214,4,3.4929744621144,29,1,39,"AIS A"
"40",4.66307277628032,4,3.49628532489379,29,1,40,"AIS A"
"41",4.46153846153846,4,3.22287858706256,20,1,41,"AIS A"
"42",4.41944444444444,4,3.23527901905953,20,1,42,"AIS A"
"43",4.42045454545455,4,3.2928190570782,20,1,43,"AIS A"
"44",4.29799426934097,4,3.34724479081262,21,1,44,"AIS A"
"45",4.1812865497076,3.5,3.17096441934209,22,1,45,"AIS A"
"46",4.13690476190476,3,3.24414622347095,25,1,46,"AIS A"
"47",4.03012048192771,3,3.20106609657229,26,1,47,"AIS A"
"48",3.93333333333333,3,3.22157116482162,30,1,48,"AIS A"
"49",3.76340694006309,3,2.89546542054939,17,1,49,"AIS A"
"50",3.68284789644013,3,2.77448900984495,17,1,50,"AIS A"
"51",3.50980392156863,3,2.74994520853631,17,1,51,"AIS A"
"52",3.4135593220339,3,2.64674473576483,17,1,52,"AIS A"
"53",3.17832167832168,2,2.52975665871252,16,1,53,"AIS A"
"54",2.99259259259259,2,2.49459280313973,16,1,54,"AIS A"
"55",2.90697674418605,2,2.44134893013654,16,1,55,"AIS A"
"56",2.71610169491525,2,2.43028657233189,16,1,56,"AIS A"
"57",2.69856459330144,2,2.61836117397776,16,1,57,"AIS A"
"58",2.73099415204678,2,2.71339350260253,17,1,58,"AIS A"
"59",2.77272727272727,2,2.74234787992291,17,1,59,"AIS A"
"60",2.56481481481481,1,2.4352287813925,16,1,60,"AIS A"
"61",4.26415094339623,4,3.37496976280601,15,1,1,"AIS B"
"62",4.82352941176471,5,2.77483992530422,15,1,2,"AIS B"
"63",5.97368421052632,5,3.68048433120978,20,1,3,"AIS B"
